nsize,nitem,diffmn,diffsd,discmi,discma,CTTphi1,CTTphi2,CTTphi3,CFAphi1,CFAphi2,CFAphi3,PCMphi1,PCMphi2,PCMphi3,GPCMphi1,GPCMphi2,GPCMphi3,CTTkappa1,CTTkappa2,CTTkappa3,CFAkappa1,CFAkappa2,CFAkappa3,PCMkappa1,PCMkappa2,PCMkappa3,GPCMkappa1,GPCMkappa2,GPCMkappa3,CTTtypeone1,CTTtypeone2,CTTtypeone3,CFAtypeone1,CFAtypeone2,CFAtypeone3,PCMtypeone1,PCMtypeone2,PCMtypeone3,GPCMtypeone1,GPCMtypeone2,GPCMtypeone3,CTTtypetwo1,CTTtypetwo2,CTTtypetwo3,CFAtypetwo1,CFAtypetwo2,CFAtypetwo3,PCMtypetwo1,PCMtypetwo2,PCMtypetwo3,GPCMtypetwo1,GPCMtypetwo2,GPCMtypetwo3
250,10,0,0.5,1,1,0.452550794,0.525512698,0.566915873,0.43105873,0.50525873,0.550636508,0.437519048,0.511804762,0.554390476,0.431044444,0.505896825,0.550666667,0.433898492,0.512401562,0.556321228,0.42420418,0.503145738,0.550023686,0.428882294,0.50807322,0.552561134,0.424274269,0.503735019,0.550115624,0.057564762,0.076485079,0.091368783,0.041548042,0.051648148,0.061459471,0.045489841,0.058083492,0.068240741,0.041451958,0.051552063,0.06138381,0.019238942,0.031041799,0.040040106,0.024897566,0.042458624,0.056042222,0.023333968,0.039120529,0.052209841,0.024918836,0.042417672,0.056056614
500,10,0,0.5,1,1,0.453106858,0.526106858,0.56754067,0.431511962,0.505783094,0.551258373,0.43800319,0.512341308,0.554977671,0.431497608,0.506433812,0.551271132,0.434649053,0.51304762,0.557014617,0.424908357,0.503761253,0.550678224,0.429608854,0.508689182,0.553177301,0.424978781,0.504357275,0.550748593,0.057206273,0.076283254,0.091108666,0.041112919,0.051352153,0.06124806,0.045073578,0.057826369,0.068053907,0.041016374,0.051262626,0.061192663,0.019256991,0.031018288,0.040008825,0.02494269,0.04247932,0.056009676,0.023371611,0.039125253,0.052172568,0.024964062,0.042435407,0.056020308
750,10,0,0.5,1,1,0.453673077,0.526684295,0.568108974,0.431974359,0.506266026,0.551782051,0.438496795,0.512857372,0.55549359,0.431959936,0.506907051,0.551788462,0.435425294,0.513712964,0.557650672,0.425637768,0.504350986,0.551237743,0.430360864,0.509299196,0.55375156,0.425708531,0.504929742,0.551305467,0.056803098,0.076010577,0.090843483,0.040632372,0.051020513,0.061019124,0.044612073,0.05753547,0.067792949,0.040535363,0.050951389,0.060951282,0.019279701,0.031011325,0.039989957,0.024992735,0.042512393,0.056003632,0.023414103,0.039139316,0.052174359,0.025014209,0.042463462,0.056019765
250,20,0,0.5,1,1,0.454299517,0.527275362,0.568690821,0.432495974,0.506732689,0.552354267,0.439049919,0.51337037,0.556075684,0.432481481,0.507376812,0.552363929,0.436223025,0.514367921,0.558328554,0.426388216,0.504912333,0.55185093,0.431134129,0.509908904,0.554374527,0.42645932,0.505493884,0.551923018,0.056393451,0.075774235,0.090517123,0.040144605,0.050713043,0.060783145,0.044143532,0.057236286,0.067574235,0.040047128,0.050643586,0.060711755,0.01929168,0.030990446,0.039984756,0.025032313,0.042538057,0.055983682,0.023446055,0.039153838,0.052142995,0.025053892,0.042488889,0.056000537
500,20,0,0.5,1,1,0.453729773,0.526749191,0.568135922,0.431972492,0.506221683,0.551752427,0.438535599,0.512841424,0.555487055,0.431935275,0.506860841,0.551752427,0.435622378,0.513801233,0.557736641,0.425832379,0.504389182,0.551253119,0.430585127,0.509365253,0.553785885,0.425887918,0.504964638,0.551314834,0.056488997,0.075899784,0.090688781,0.040231823,0.05078986,0.060876052,0.044234844,0.057327292,0.067681122,0.040133873,0.050719849,0.060805825,0.019314347,0.031023085,0.040023517,0.025046818,0.042575405,0.056053722,0.02346041,0.039190291,0.052206904,0.025069579,0.042527292,0.056071953
750,20,0,0.5,1,1,0.453291057,0.526265041,0.567596748,0.431557724,0.505717073,0.551164228,0.438160976,0.512318699,0.554925203,0.431523577,0.50635122,0.55116748,0.435130404,0.513288121,0.557167961,0.425384044,0.503872201,0.550658244,0.430172635,0.508832142,0.553219844,0.425445155,0.504443237,0.55072281,0.05659935,0.076016369,0.090848889,0.040315881,0.050866558,0.060969756,0.044318591,0.057411491,0.06778103,0.040216477,0.050796856,0.060898862,0.019324011,0.031052466,0.040065908,0.025057453,0.042612033,0.056123902,0.02346981,0.039228943,0.052271653,0.025080325,0.042564336,0.056141897
250,30,0,0.5,1,1,0.452661765,0.525794118,0.567117647,0.430879085,0.505223856,0.550588235,0.437465686,0.511831699,0.554341503,0.430825163,0.505879085,0.550591503,0.43445104,0.512775695,0.556660802,0.424667971,0.503364675,0.550083287,0.429440317,0.50833526,0.552632047,0.424710657,0.503960297,0.55014817,0.056716013,0.076162854,0.090981155,0.040408932,0.050942702,0.061058824,0.044422113,0.057500763,0.067884532,0.040309695,0.050870697,0.060987582,0.019340305,0.031065468,0.040107407,0.025077015,0.042647712,0.056189216,0.02348878,0.039259804,0.052335076,0.025101307,0.042597821,0.056207298
500,30,0,0.5,1,1,0.452499179,0.52552381,0.56683087,0.430701149,0.50492775,0.550308703,0.437293924,0.511563218,0.554049261,0.430665025,0.505579639,0.550295567,0.434293085,0.512492647,0.556359553,0.424458067,0.503063551,0.549793108,0.429241965,0.508059232,0.552333201,0.424515822,0.503659584,0.549844233,0.056749973,0.076231965,0.091064149,0.040475534,0.050996606,0.061112425,0.04448462,0.057559606,0.067945265,0.040377121,0.05092578,0.061042365,0.019349973,0.031083415,0.040135523,0.025076628,0.042666667,0.056219923,0.023489327,0.039275205,0.052366284,0.025099507,0.042616092,0.056240066
750,30,0,0.5,1,1,0.452278878,0.525224422,0.56659736,0.430528053,0.504674917,0.550041254,0.437107261,0.511292079,0.553757426,0.430470297,0.505330033,0.550026403,0.434048449,0.512183498,0.556112556,0.424251025,0.502800847,0.549520443,0.42902804,0.507779604,0.552043332,0.424285629,0.503400177,0.549569554,0.056813751,0.076288559,0.091138394,0.040544224,0.051047085,0.061163476,0.044541474,0.05760297,0.06800077,0.040444994,0.050976238,0.061093729,0.019358636,0.031109241,0.040156656,0.025077338,0.042682178,0.056250055,0.02349571,0.03929802,0.05239945,0.02510198,0.042631023,0.056270297
250,10,0.75,0.5,1,1,0.451907131,0.524897181,0.566328358,0.430276949,0.504411277,0.549681592,0.436787728,0.510953566,0.553475954,0.430202322,0.505087894,0.549660033,0.433654054,0.511854485,0.555839596,0.423967021,0.502525104,0.549158622,0.428681889,0.507433315,0.55175468,0.42398333,0.503145827,0.549202999,0.056884135,0.076344389,0.091190492,0.04060398,0.051100055,0.061221669,0.044597899,0.057648756,0.068055832,0.040506247,0.051026866,0.061153566,0.019370702,0.03114063,0.040192593,0.025079381,0.042698176,0.056289773,0.023503814,0.039329022,0.052428635,0.025104809,0.042645439,0.056310116
500,10,0.75,0.5,1,1,0.452193333,0.525156667,0.566611667,0.430571667,0.504766667,0.55003,0.437031667,0.511228333,0.553793333,0.430478333,0.505428333,0.55001,0.434018773,0.512178959,0.55618044,0.424306348,0.502890815,0.549517311,0.428974632,0.507740257,0.552086277,0.424301876,0.503498011,0.549561784,0.056777889,0.076201667,0.091006889,0.040517222,0.051030889,0.061123333,0.044525778,0.057557667,0.067960111,0.040423444,0.050964222,0.061058667,0.019376222,0.031147222,0.040211333,0.025084111,0.042679,0.056269,0.023507111,0.039325444,0.052411667,0.025109667,0.042626,0.056287667
750,10,0.75,0.5,1,1,0.452437186,0.525400335,0.566805695,0.430775544,0.505095477,0.550224456,0.437264657,0.511537688,0.5540067,0.430670017,0.505726968,0.550278057,0.43433771,0.512481291,0.556426241,0.424556024,0.503227736,0.549718712,0.429246975,0.508076121,0.552319583,0.424522329,0.503810007,0.549829481,0.056690006,0.076071692,0.090870575,0.040449135,0.050969738,0.061051591,0.044465773,0.057451591,0.067878839,0.040376996,0.050896371,0.06099933,0.019382133,0.031153657,0.040231826,0.025093579,0.042660637,0.056268007,0.023512004,0.039322055,0.05240871,0.025115578,0.0426134,0.056268007
250,20,0.75,0.5,1,1,0.452745791,0.525705387,0.56706734,0.430902357,0.505372054,0.550545455,0.437484848,0.511890572,0.554358586,0.430796296,0.506010101,0.550589226,0.434681449,0.51285529,0.556726482,0.424735489,0.503524706,0.550037734,0.42952392,0.508450399,0.552672309,0.424701623,0.504111368,0.550140745,0.05662615,0.075913131,0.090735578,0.040369248,0.050897194,0.060988215,0.044375196,0.057355892,0.067796745,0.040296745,0.050828171,0.06093367,0.019374299,0.031160157,0.040230976,0.025105163,0.042653872,0.05623569,0.023518294,0.03931257,0.052378451,0.025127273,0.042604377,0.056238384
500,20,0.75,0.5,1,1,0.451805415,0.524852792,0.566247039,0.429913706,0.504455161,0.549663283,0.436529611,0.510996616,0.55350423,0.429798646,0.505111675,0.549707276,0.433682629,0.5119535,0.555870341,0.423716775,0.502591292,0.549158784,0.428532446,0.507537556,0.551813304,0.423675038,0.503193465,0.549262318,0.056775973,0.076102651,0.090959729,0.040482572,0.051012747,0.061117992,0.044502312,0.057491371,0.067950254,0.040409927,0.050942245,0.06106317,0.019406317,0.031209588,0.040295544,0.02514123,0.04272758,0.056341342,0.023549239,0.039377665,0.052470389,0.025163903,0.042676706,0.05634405
750,20,0.75,0.5,1,1,0.450889456,0.524011905,0.56544898,0.428892857,0.503556122,0.548818027,0.43557483,0.510147959,0.552670068,0.428807823,0.504221088,0.548848639,0.432704688,0.51106639,0.555039517,0.422666995,0.501682366,0.548304485,0.427538152,0.506675197,0.55096956,0.422653688,0.502291391,0.548397877,0.056929252,0.076282086,0.09117517,0.04059932,0.051126417,0.061245465,0.044625624,0.057620408,0.06810034,0.040524943,0.051055215,0.061191723,0.019436621,0.031262358,0.040362018,0.025179705,0.04279898,0.056444444,0.023584014,0.039439116,0.052562585,0.025201134,0.042747506,0.056448526
250,30,0.75,0.5,1,1,0.450025641,0.523182906,0.564700855,0.428034188,0.502729915,0.548011966,0.434664957,0.50925641,0.551817094,0.427935043,0.503391453,0.548042735,0.431776402,0.510188539,0.554256428,0.421773019,0.50084389,0.547494646,0.426589932,0.50576777,0.55011114,0.421745773,0.501448441,0.547588517,0.057078291,0.076468148,0.091380171,0.040705641,0.051234074,0.061365356,0.044749174,0.057751795,0.068250598,0.040631567,0.051163191,0.061311339,0.019459715,0.031309858,0.040421311,0.025206952,0.042863932,0.056539715,0.023610598,0.039505983,0.052654359,0.025229174,0.042812877,0.056543818
500,30,0.75,0.5,1,1,0.449343643,0.522620275,0.564197595,0.427314433,0.502080756,0.547445017,0.434001718,0.508659794,0.551249141,0.427231959,0.502745704,0.54747079,0.431056956,0.509576042,0.553731263,0.421022093,0.500181852,0.546930939,0.425887147,0.505154294,0.549538606,0.421010971,0.50079388,0.547019923,0.05719244,0.076632302,0.091522222,0.040807102,0.05132543,0.061455326,0.044857045,0.057856816,0.068355441,0.04073173,0.051253494,0.061401718,0.019485338,0.031329897,0.040464261,0.025230126,0.042913288,0.056604811,0.023630126,0.039545361,0.052716609,0.025251775,0.042861741,0.056609622
750,30,0.75,0.5,1,1,0.448571675,0.522005181,0.563690846,0.426525043,0.501397237,0.546905009,0.433253886,0.507996546,0.550670121,0.426462867,0.502070812,0.546941278,0.430264052,0.508923393,0.55318732,0.420198501,0.49948696,0.546387759,0.425099618,0.504476331,0.548961624,0.420209137,0.500107147,0.546490973,0.057299136,0.076776166,0.091692113,0.040914911,0.05142038,0.061543696,0.044963731,0.057959701,0.068454001,0.040838112,0.051348071,0.061487392,0.01952205,0.03136753,0.040496373,0.025257571,0.042965343,0.056668048,0.023658261,0.039595164,0.052785262,0.025278296,0.042912838,0.056671503
250,10,1.5,0.5,1,1,0.447765625,0.521380208,0.563086806,0.425663194,0.500755208,0.546230903,0.432392361,0.507267361,0.549994792,0.425628472,0.501465278,0.546270833,0.429414049,0.508254498,0.552551781,0.419296113,0.498832282,0.545711524,0.424195884,0.503732326,0.548280855,0.419334979,0.499486563,0.54581725,0.057431597,0.076932986,0.091865509,0.041023148,0.0515125,0.061646875,0.045084028,0.058069213,0.068576505,0.04094456,0.051437037,0.061589583,0.019547338,0.031400347,0.040543403,0.025284954,0.043013426,0.056745833,0.023683565,0.039651389,0.052857407,0.025304398,0.04295787,0.056749306
500,10,1.5,0.5,1,1,0.447586387,0.521312391,0.56304712,0.425575916,0.500666667,0.546190227,0.432246073,0.507191972,0.549938918,0.425546248,0.501396161,0.546230366,0.429234745,0.50820889,0.552522009,0.419182434,0.498736968,0.545666118,0.424028172,0.503658569,0.548231584,0.41922914,0.499412096,0.545770209,0.057467946,0.076921117,0.091857592,0.041077138,0.051535777,0.061660384,0.045127167,0.058075858,0.068571611,0.040997208,0.051464107,0.061598371,0.019557766,0.031417685,0.040561373,0.025282606,0.043018499,0.056749971,0.023688889,0.039662595,0.052873997,0.02530192,0.042959162,0.056756021
750,10,1.5,0.5,1,1,0.447473684,0.521252632,0.563036842,0.425585965,0.500617544,0.546131579,0.432187719,0.507119298,0.549891228,0.425540351,0.501347368,0.546215789,0.429130239,0.508169873,0.552513901,0.419155935,0.498676628,0.54560907,0.423949715,0.503596121,0.548181324,0.419191802,0.499355989,0.545753902,0.057500585,0.076899298,0.091865263,0.041129123,0.051554386,0.061672281,0.045167836,0.05806538,0.068587602,0.041046667,0.051480585,0.06160924,0.019567018,0.031439883,0.040567135,0.025278129,0.043021754,0.05675883,0.023691813,0.039680468,0.052881053,0.025298947,0.042962807,0.056757193
250,20,1.5,0.5,1,1,0.447342152,0.521243386,0.563005291,0.425574956,0.500597884,0.546156966,0.432134039,0.50705291,0.549895944,0.42547619,0.501299824,0.546234568,0.429026116,0.508192148,0.552473568,0.419114196,0.498650605,0.54563013,0.423886868,0.503527821,0.548180372,0.419091972,0.499304615,0.545771428,0.057494415,0.07684903,0.091895591,0.041166843,0.051575309,0.06167619,0.045184597,0.058060788,0.068587184,0.041096649,0.051501822,0.061612111,0.019579541,0.0314602,0.040563786,0.025270782,0.0430194,0.056751558,0.023693004,0.039692181,0.052880776,0.025292416,0.042963668,0.056751323
500,20,1.5,0.5,1,1,0.447437943,0.521140071,0.562859929,0.42564539,0.500615248,0.546015957,0.432216312,0.507039007,0.549757092,0.425562057,0.501333333,0.546092199,0.42913311,0.508091263,0.552349844,0.419160181,0.498659053,0.545477291,0.423946351,0.503514301,0.548034209,0.419152351,0.499330016,0.545618914,0.057514657,0.076866312,0.091882742,0.04120591,0.051600946,0.061713002,0.045228723,0.058063712,0.068627187,0.041135816,0.051526123,0.0616474,0.019573286,0.031475296,0.040604846,0.025263593,0.043010875,0.056764539,0.023682861,0.03969669,0.05289279,0.025284161,0.042953428,0.056765012
750,20,1.5,0.5,1,1,0.447486631,0.521069519,0.562762923,0.425572193,0.500575758,0.545907308,0.432254902,0.50698574,0.549668449,0.425468806,0.501301248,0.545975045,0.429193314,0.508018043,0.55226236,0.419060437,0.498609151,0.545365025,0.423956213,0.503460371,0.547946211,0.419031991,0.499287424,0.545500468,0.057535235,0.076878075,0.091891741,0.04125514,0.051633036,0.06174391,0.045276649,0.058068687,0.068660844,0.041186096,0.051556744,0.061679739,0.019572074,0.031486393,0.040629115,0.025265003,0.043007011,0.056774332,0.023677243,0.039705764,0.05289792,0.025286393,0.042949257,0.056775163
